transaction_id,client_id,date,product_id,product_name,collection,price_usd,occasion,payment_method,boutique_city,advisor_name,advisor_notes
TXN001,CLI004,2022-01-15,VAN001,Void Automatic Watch,Vanta,24500,Watch collection start,Bank Transfer,Paris,Isabelle Rousseau,Starting Vanta collection. Serious watch collector.
TXN002,CLI004,2022-04-20,VAN002,Eclipse Skeleton Watch,Vanta,32000,Watch enthusiasm,Bank Transfer,Paris,Isabelle Rousseau,Fascinated by blackened skeleton movement.
TXN003,CLI004,2022-08-10,AMA001,Conquest Statement Cuff,Amazon,28500,Gift for partner,Bank Transfer,Paris,Isabelle Rousseau,First jewelry purchase. Partner loves bold pieces.
TXN004,CLI004,2022-11-30,VAN007,Stealth Chronograph,Vanta,35000,Personal collection,Bank Transfer,Paris,Isabelle Rousseau,Loves hidden chronograph subdials.
TXN005,CLI006,2022-06-15,AMA001,Conquest Statement Cuff,Amazon,28500,Business success,UnionPay,Paris,Jean Marceau,Major deal closed. Bold power piece for boardroom.
TXN006,CLI006,2022-11-20,AMA003,Warrior Queen Ring,Amazon,18900,Personal empowerment,UnionPay,Paris,Jean Marceau,Collects statement rings. Ruby throne design.
TXN007,CLI009,2022-09-15,AMA001,Conquest Statement Cuff,Amazon,28500,Paris shopping,Credit Card,Paris,Isabelle Rousseau,Emirates VIP. Biannual Paris visits.
TXN008,CLI009,2022-09-16,AMA002,Sovereign Collar Necklace,Amazon,35000,Same trip,Credit Card,Paris,Jean Marceau,Returned next day. Citrine stunning.
TXN009,CLI008,2022-10-18,VAN002,Eclipse Skeleton Watch,Vanta,32000,First Vanta,Credit Card,Paris,Isabelle Rousseau,American expat watch enthusiast.
TXN010,CLI011,2022-04-10,AMA001,Conquest Statement Cuff,Amazon,28500,Promotion to CEO,Credit Card,Hong Kong,Michelle Wong,Major career milestone. Bold cuff for boardroom.
TXN011,CLI011,2022-08-15,AMA003,Warrior Queen Ring,Amazon,18900,Company funding,Credit Card,Hong Kong,Michelle Wong,Funding round success. Ruby throne ring.
TXN012,CLI012,2022-10-12,AMA001,Conquest Statement Cuff,Amazon,28500,Promotion VP,Credit Card,Hong Kong,Raymond Lee,Pharma executive promoted. Bold cuff.
TXN013,CLI012,2022-12-15,AMA002,Sovereign Collar Necklace,Amazon,35000,Year-end milestone,Bank Transfer,Hong Kong,Raymond Lee,Company milestone. Citrine collar commanding.
TXN014,CLI018,2022-11-15,HAT002,Echoes of Voice Drop Earrings,Hatching,9500,First LEIA,Credit Card,Hong Kong,Michelle Wong,French expat lawyer. Sophisticated taste.
TXN015,CLI017,2022-08-20,VAN001,Void Automatic Watch,Vanta,24500,Watch passion,Bank Transfer,Hong Kong,Raymond Lee,French expat. Serious watch collector.
TXN016,CLI021,2022-09-10,AMA001,Conquest Statement Cuff,Amazon,28500,Business launch,UnionPay,Shanghai,Li Na,Entrepreneur launching business. Power piece.
TXN017,CLI023,2022-11-10,AMA002,Sovereign Collar Necklace,Amazon,35000,Company IPO,Bank Transfer,Shanghai,Li Na,Company went public. Commanding collar.
TXN018,CLI025,2022-12-20,VAN002,Eclipse Skeleton Watch,Vanta,32000,First Vanta,Bank Transfer,Shanghai,Li Na,American expat consultant. Skeleton movement.
TXN019,CLI028,2022-08-10,AMA001,Conquest Statement Cuff,Amazon,28500,Business success,Bank Transfer,New York,Marcus Johnson,Jordanian entrepreneur. Power piece for confidence.
TXN020,CLI028,2022-12-15,AMA002,Sovereign Collar Necklace,Amazon,35000,Company milestone,Bank Transfer,New York,Sarah Mitchell,Company expansion success. Commanding collar.
TXN021,CLI003,2023-03-15,AMA007,Tribal Torque Necklace,Amazon,29800,Gallery opening,Bank Transfer,Paris,Isabelle Rousseau,Bold choice for gallery owner. Loves turquoise.
TXN022,CLI003,2023-09-22,AMA010,Shield Insignia Brooch,Amazon,19500,Personal collection,Credit Card,Paris,Isabelle Rousseau,Adores enamel work. Plans to wear to galas.
TXN023,CLI002,2023-06-20,ECL003,Identity Medallion Pendant,Eclipse,6800,HRT 6-month anniversary,Credit Card,Paris,Jean Marceau,First LEIA purchase. Left medallion blank as statement.
TXN024,CLI002,2023-11-12,ECL008,Binary Identity Ring,Eclipse,8400,Personal milestone,Credit Card,Paris,Jean Marceau,Encoded personal date in binary. Loves titanium.
TXN025,CLI004,2023-03-15,ECL009,Satellite Orbit Earrings,Eclipse,16800,Partners birthday,Credit Card,Paris,Jean Marceau,Gift for partner. Kinetic mechanism fascinating.
TXN026,CLI004,2023-06-22,AMA003,Warrior Queen Ring,Amazon,18900,Anniversary gift,Bank Transfer,Paris,Isabelle Rousseau,10-year anniversary. Ruby for passion.
TXN027,CLI004,2023-09-10,VAN006,Quantum Minimal Watch,Vanta,28900,Personal collection,Bank Transfer,Paris,Isabelle Rousseau,Ultra-thin watch for dress occasions.
TXN028,CLI004,2023-12-05,HAT003,Warriors Thread Choker,Hatching,16200,Holiday gift partner,Bank Transfer,Paris,Isabelle Rousseau,Partner loves chain mail aesthetic.
TXN029,CLI005,2023-05-10,HAT002,Echoes of Voice Drop Earrings,Hatching,9500,Paris shopping,UnionPay,Paris,Jean Marceau,Chinese fashion editor. Very knowledgeable.
